epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5943.5,0.55465,0.91737,1.0282,0.63606,0.4946,0.56971,0.51322,0.52509,1.33472,0.94308,0.004159,0.004159,0.004159
61,6041.84,0.54706,0.90396,1.0276,0.63827,0.51348,0.57737,0.51937,0.52738,1.32772,0.94228,0.00406,0.00406,0.00406
62,6140.16,0.55592,0.89502,1.02938,0.62968,0.50914,0.57895,0.52112,0.52664,1.31075,0.9432,0.003961,0.003961,0.003961
63,6238.45,0.55169,0.87774,1.02378,0.6394,0.49389,0.57631,0.52012,0.51802,1.31283,0.93563,0.003862,0.003862,0.003862
64,6336.63,0.54749,0.88233,1.0285,0.61825,0.51128,0.57908,0.5222,0.52236,1.30233,0.94255,0.003763,0.003763,0.003763
65,6434.92,0.53665,0.85158,1.01901,0.6104,0.51602,0.57761,0.52188,0.5174,1.31039,0.94006,0.003664,0.003664,0.003664
66,6532.92,0.53027,0.83537,1.01468,0.65487,0.49768,0.582,0.52656,0.51698,1.29675,0.9409,0.003565,0.003565,0.003565
67,6631.33,0.5343,0.83085,1.01744,0.6808,0.49701,0.5837,0.52617,0.52555,1.29095,0.9456,0.003466,0.003466,0.003466
68,6729.37,0.52338,0.80859,1.01204,0.70383,0.47618,0.57691,0.52124,0.52141,1.30271,0.94383,0.003367,0.003367,0.003367
69,6827.33,0.52309,0.80494,1.01178,0.66641,0.50901,0.581,0.52313,0.52296,1.28727,0.94645,0.003268,0.003268,0.003268
70,6925.47,0.51819,0.79049,1.01031,0.66975,0.51073,0.58796,0.52945,0.52729,1.2821,0.94921,0.003169,0.003169,0.003169
71,7024.06,0.52192,0.78449,1.00697,0.65238,0.5168,0.59316,0.53391,0.52423,1.26895,0.94962,0.00307,0.00307,0.00307
72,7122.18,0.50517,0.75756,1.00615,0.69103,0.49162,0.59429,0.53449,0.52188,1.26776,0.95009,0.002971,0.002971,0.002971
73,7220.42,0.51061,0.7563,1.00604,0.68359,0.49733,0.59572,0.53598,0.52211,1.26588,0.94896,0.002872,0.002872,0.002872
74,7318.85,0.51125,0.75118,1.00559,0.69446,0.4965,0.59771,0.53899,0.52075,1.26295,0.94648,0.002773,0.002773,0.002773
75,7417.04,0.50291,0.73911,1.00454,0.70191,0.50023,0.59987,0.5407,0.51919,1.26108,0.94558,0.002674,0.002674,0.002674
76,7515.46,0.49865,0.72327,0.99589,0.65046,0.53035,0.60147,0.54286,0.51656,1.24821,0.94526,0.002575,0.002575,0.002575
77,7613.88,0.49648,0.72917,0.9976,0.66619,0.51958,0.60427,0.54553,0.51586,1.24173,0.94262,0.002476,0.002476,0.002476
78,7711.91,0.49431,0.71343,1.00072,0.65162,0.53948,0.60793,0.54841,0.5158,1.23348,0.94279,0.002377,0.002377,0.002377
79,7810.37,0.48862,0.70083,0.99428,0.66045,0.53083,0.60789,0.5479,0.51346,1.23782,0.9421,0.002278,0.002278,0.002278
80,7908.68,0.49003,0.71037,0.99871,0.68758,0.52111,0.60933,0.54875,0.51245,1.2366,0.94178,0.002179,0.002179,0.002179
